,Recency,Frequency,Monetary,AvgOrderValue,ItemsPerTransaction
1,2,7,4310.0,615.7142857142857,351.14285714285717
2,75,4,1797.24,449.31,585.25
4,310,1,334.4,334.4,197.0
5,36,8,2506.04,313.255,67.0
6,204,1,89.0,89.0,20.0
7,232,1,1079.4,1079.4,530.0
8,214,1,459.4,459.4,240.0
9,23,3,2811.43,937.1433333333333,530.3333333333334
11,2,2,1168.06,584.03,124.0
13,52,3,2662.06,887.3533333333334,388.3333333333333
14,287,1,189.9,189.9,91.0
16,110,2,552.0,276.0,204.0
17,8,4,1313.1,328.275,376.5
18,291,2,641.38,320.69,87.0
19,4,1,168.9,168.9,173.0
20,51,4,3545.69,886.4225,588.25
21,45,2,1887.96,943.98,295.5
22,72,3,1298.04,432.68,264.6666666666667
23,311,1,364.6,364.6,197.0
24,25,1,742.9300000000001,742.9300000000001,342.0
25,11,2,457.5,228.75,89.0
26,315,2,1628.12,814.06,472.0
28,82,2,852.24,426.12,203.5
29,22,4,2724.81,681.2025,281.75
30,5,5,1845.31,369.062,161.6
31,185,5,1850.56,370.11199999999997,306.4
32,29,2,585.27,292.635,63.0
33,338,2,401.9,200.95,177.0
34,16,6,2780.66,463.4433333333333,243.66666666666666
35,80,1,549.84,549.84,353.0
36,22,1,460.89,460.89,300.0
37,72,4,1582.6000000000001,395.65000000000003,204.0
38,64,2,1272.48,636.24,409.5
39,19,12,3018.63,251.5525,176.5
42,119,4,1108.65,277.1625,294.5
43,303,1,84.3,84.3,11.0
44,323,1,225.6,225.6,94.0
45,50,1,427.7,427.7,96.0
48,50,5,1708.1200000000001,341.624,283.2
49,33,5,2888.55,577.71,281.8
51,309,2,693.3299999999999,346.66499999999996,105.5
52,75,3,1226.88,408.96000000000004,276.3333333333333
53,67,3,758.1,252.70000000000002,95.33333333333333
54,217,3,562.41,187.47,100.0
56,3,9,3649.1,405.4555555555555,172.44444444444446
57,113,1,668.58,668.58,407.0
58,64,1,600.39,600.39,345.0
59,16,4,807.04,201.76,121.0
60,96,3,803.5600000000001,267.85333333333335,123.33333333333333
61,1,8,1859.31,232.41375,167.375
62,163,2,1760.96,880.48,370.0
63,78,1,777.2,777.2,496.0
64,195,1,582.73,582.73,258.0
65,22,3,825.8,275.26666666666665,177.66666666666666
67,9,4,3750.4,937.6,389.25
68,43,1,256.4,256.4,117.0
70,43,5,5059.32,1011.8639999999999,360.2
72,85,2,806.14,403.07,197.0
74,100,1,509.01,509.01,211.0
77,367,1,173.55,173.55,121.0
78,3,1,172.06,172.06,182.0
79,21,5,5005.46,1001.092,230.6
80,22,1,133.4,133.4,62.0
81,58,1,1002.3100000000001,1002.3100000000001,351.0
82,243,1,476.49,476.49,190.0
83,44,1,449.45,449.45,243.0
84,22,4,4067.29,1016.8225,388.25
85,156,2,197.88,98.94,64.0
87,17,2,430.57,215.285,92.5
88,134,1,707.09,707.09,473.0
90,73,6,2466.86,411.1433333333334,348.1666666666667
91,44,3,3181.04,1060.3466666666666,544.3333333333334
92,66,7,2363.23,337.6042857142857,120.42857142857143
93,71,2,947.4,473.7,253.0
94,94,2,826.88,413.44,143.5
95,19,2,1189.59,594.795,268.0
96,53,4,1344.78,336.195,194.0
97,10,8,1212.05,151.50625,14.0
98,17,2,742.1899999999999,371.09499999999997,239.5
99,188,2,729.5400000000001,364.77000000000004,183.0
102,29,5,3938.5499999999997,787.7099999999999,487.8
104,54,1,723.38,723.38,535.0
107,4,1,680.99,680.99,236.0
108,11,1,527.2,527.2,385.0
109,28,4,3281.63,820.4075,426.75
111,17,8,2484.98,310.6225,138.75
112,33,6,4541.72,756.9533333333334,365.1666666666667
113,10,3,1298.66,432.8866666666667,176.33333333333334
114,336,1,334.93,334.93,105.0
116,39,1,460.40000000000003,460.40000000000003,260.0
117,63,2,263.21000000000004,131.60500000000002,96.0
118,166,2,433.74,216.87,103.5
119,16,7,1246.1000000000001,178.01428571428573,101.0
121,21,3,403.70000000000005,134.5666666666667,53.0
122,23,11,4257.82,387.07454545454544,243.45454545454547
124,96,5,3723.87,744.774,164.0
125,18,2,482.04999999999995,241.02499999999998,45.0
126,233,1,73.5,73.5,23.0
127,134,3,1304.81,434.93666666666667,298.0
128,26,2,398.27,199.135,136.0
129,284,1,176.5,176.5,55.0
130,143,2,982.5699999999999,491.28499999999997,176.5
131,66,2,138.03,69.015,49.5
132,113,1,612.29,612.29,462.0
133,267,1,1017.68,1017.68,440.0
134,353,1,383.7,383.7,131.0
135,78,2,1312.06,656.03,437.5
136,28,5,2502.84,500.56800000000004,274.2
137,1,5,2056.89,411.378,263.6
138,64,1,340.84,340.84,183.0
139,79,5,2634.26,526.8520000000001,287.8
140,143,1,599.68,599.68,309.0
141,39,2,192.72,96.36,97.0
142,19,11,1789.77,162.70636363636365,78.63636363636364
143,9,8,4485.72,560.715,462.375
144,1,3,1316.66,438.8866666666667,210.66666666666666
145,82,3,348.71000000000004,116.23666666666668,78.0
146,9,6,1933.48,322.24666666666667,126.0
147,60,4,1662.28,415.57,228.25
148,15,1,125.22,125.22,45.0
149,30,1,349.83000000000004,349.83000000000004,153.0
150,131,1,1089.18,1089.18,651.0
151,92,2,716.35,358.175,109.5
153,29,1,363.95,363.95,191.0
156,30,3,981.18,327.06,226.66666666666666
157,36,1,372.7,372.7,136.0
158,75,2,1000.39,500.195,261.5
159,47,2,1161.5,580.75,316.5
160,198,2,207.79999999999998,103.89999999999999,67.0
161,166,1,95.19999999999999,95.19999999999999,49.0
162,79,1,964.83,964.83,569.0
163,358,1,168.0,168.0,100.0
164,39,2,437.82,218.91,44.0
165,8,10,3692.28,369.228,196.5
166,50,2,603.71,301.855,179.0
168,8,1,269.96,269.96,196.0
169,311,2,561.71,280.855,141.5
170,5,3,2134.01,711.3366666666667,370.0
171,303,1,238.85,238.85,177.0
172,8,7,3781.7400000000002,540.2485714285715,254.14285714285714
173,261,1,456.9,456.9,133.0
174,289,1,145.92,145.92,80.0
175,86,1,351.65,351.65,265.0
178,40,2,519.61,259.805,261.5
179,9,2,1020.42,510.21,226.0
180,227,1,160.54000000000002,160.54000000000002,84.0
181,316,1,218.45,218.45,61.0
182,36,5,1315.83,263.166,193.4
183,35,3,657.8,219.26666666666665,157.33333333333334
185,78,1,440.42,440.42,285.0
186,247,1,415.7,415.7,238.0
187,40,1,197.71,197.71,161.0
188,239,2,511.36,255.68,150.0
190,4,9,2338.15,259.7944444444445,46.22222222222222
191,234,2,2040.1,1020.05,639.5
192,17,1,196.94000000000003,196.94000000000003,79.0
193,8,1,144.0,144.0,51.0
194,39,1,214.89999999999998,214.89999999999998,53.0
195,29,2,646.68,323.34,153.0
197,317,1,452.84999999999997,452.84999999999997,228.0
198,92,2,437.6,218.8,145.0
199,109,3,418.09999999999997,139.36666666666665,68.66666666666667
200,38,10,3338.2200000000003,333.822,177.7
201,51,2,618.27,309.135,237.0
202,19,4,3811.22,952.805,559.0
203,10,8,3023.08,377.885,245.5
204,29,7,1032.58,147.51142857142855,136.57142857142858
205,29,10,2599.04,259.904,77.4
206,190,5,577.0600000000001,115.412,49.0
207,59,1,153.12,153.12,162.0
208,22,1,739.1999999999999,739.1999999999999,63.0
209,79,2,254.18,127.09,100.5
211,78,3,1126.85,375.6166666666666,216.0
212,23,5,2099.54,419.908,209.8
214,74,1,704.0400000000001,704.0400000000001,262.0
215,57,5,3344.38,668.876,328.8
216,278,1,315.6,315.6,76.0
217,2,4,2291.19,572.7975,344.0
218,95,2,713.3,356.65,142.0
219,29,1,355.53,355.53,213.0
220,22,1,177.31,177.31,96.0
221,16,9,3641.24,404.5822222222222,375.3333333333333
222,15,3,1339.41,446.47,393.6666666666667
224,232,1,180.1,180.1,69.0
225,276,1,305.1,305.1,191.0
226,106,2,641.13,320.565,177.5
229,11,7,4478.53,639.79,393.14285714285717
230,4,3,786.46,262.15333333333336,149.33333333333334
231,10,2,1270.88,635.44,274.0
232,57,1,640.5,640.5,236.0
233,59,4,2163.98,540.995,290.5
234,90,2,1689.18,844.59,586.0
236,33,1,671.69,671.69,577.0
237,239,1,486.1,486.1,201.0
238,24,3,1174.58,391.52666666666664,103.66666666666667
239,115,1,185.9,185.9,72.0
240,25,3,1013.26,337.75333333333333,184.0
241,128,6,3344.64,557.4399999999999,301.3333333333333
242,130,1,477.91,477.91,325.0
243,34,4,1775.18,443.795,271.0
244,5,2,1346.97,673.485,448.5
245,22,12,3722.82,310.235,119.25
246,155,1,318.05,318.05,160.0
247,107,3,623.51,207.83666666666667,195.33333333333334
248,3,1,314.44,314.44,254.0
249,335,1,114.0,114.0,78.0
250,331,1,919.98,919.98,505.0
252,11,5,601.98,120.396,52.8
253,17,5,4051.17,810.234,344.6
254,11,4,1643.18,410.795,261.0
255,19,1,686.05,686.05,320.0
256,30,1,91.68,91.68,105.0
257,11,1,245.1,245.1,127.0
258,1,11,3849.78,349.98,187.0909090909091
259,8,9,4881.88,542.4311111111111,133.66666666666666
260,325,1,63.0,63.0,37.0
261,58,1,620.13,620.13,395.0
262,12,4,3807.15,951.7875,408.5
263,151,3,2744.0299999999997,914.6766666666666,371.6666666666667
264,10,5,2996.05,599.21,279.4
265,330,1,225.89999999999998,225.89999999999998,78.0
266,5,2,610.52,305.26,175.5
267,39,4,1970.6,492.65,283.25
268,25,6,1331.39,221.89833333333334,111.66666666666667
270,59,4,1113.02,278.255,138.5
271,1,4,862.81,215.7025,110.75
275,8,7,2283.63,326.23285714285714,283.57142857142856
276,28,6,2863.08,477.18,253.83333333333334
277,372,1,89.14,89.14,107.0
279,26,2,1247.61,623.805,314.0
280,206,1,389.01,389.01,106.0
281,28,6,1035.8,172.63333333333333,65.66666666666667
282,127,4,855.91,213.9775,63.75
283,70,2,869.67,434.835,254.5
284,7,4,582.1,145.525,55.0
285,29,3,957.59,319.19666666666666,169.33333333333334
287,80,2,797.71,398.855,339.0
288,20,1,219.0,219.0,53.0
289,71,1,283.55,283.55,164.0
290,7,8,2340.84,292.605,125.75
292,292,1,603.42,603.42,256.0
293,30,10,2712.91,271.291,130.7
295,97,3,1149.02,383.00666666666666,283.6666666666667
296,29,13,4396.13,338.1638461538462,81.6923076923077
297,1,1,848.55,848.55,508.0
298,9,5,4708.86,941.7719999999999,613.8
299,106,1,353.86,353.86,197.0
300,4,2,1053.49,526.745,354.0
301,151,2,1030.98,515.49,253.0
302,71,1,238.25,238.25,203.0
303,5,2,644.95,322.475,187.0
305,32,6,2656.13,442.68833333333333,326.5
306,85,4,997.63,249.4075,141.5
307,4,5,725.07,145.014,86.8
308,5,4,1031.41,257.8525,111.25
309,371,1,427.8,427.8,164.0
310,28,7,2609.1,372.7285714285714,449.0
311,11,7,3980.7,568.6714285714286,299.7142857142857
312,71,4,836.33,209.0825,104.75
313,114,1,453.01,453.01,233.0
315,180,1,236.26000000000002,236.26000000000002,111.0
316,234,1,383.95,383.95,137.0
317,353,1,110.39999999999999,110.39999999999999,88.0
318,315,2,779.5699999999999,389.78499999999997,184.0
319,333,1,234.0,234.0,173.0
320,372,1,155.35,155.35,148.0
321,78,2,1013.04,506.52,243.0
322,64,1,427.6,427.6,342.0
323,134,2,546.43,273.215,159.5
325,2,11,4196.01,381.4554545454546,115.9090909090909
327,4,5,4090.88,818.176,294.2
328,129,1,275.88,275.88,137.0
333,87,1,112.07999999999998,112.07999999999998,144.0
336,52,3,1531.44,510.48,300.6666666666667
337,8,2,1898.52,949.26,613.5
338,138,2,494.08,247.04,158.0
343,60,1,892.47,892.47,556.0
344,17,5,1386.04,277.20799999999997,175.4
345,20,6,822.23,137.03833333333333,137.5
346,38,8,3981.36,497.67,253.0
347,64,2,826.74,413.37,335.5
348,5,5,2330.92,466.184,217.2
349,2,6,2225.91,370.98499999999996,104.0
350,9,2,574.42,287.21,150.0
351,364,1,311.95,311.95,131.0
352,10,3,463.66,154.55333333333334,87.0
353,65,1,91.85,91.85,4.0
354,192,1,324.92,324.92,166.0
355,374,1,192.60000000000002,192.60000000000002,97.0
356,257,1,400.53999999999996,400.53999999999996,217.0
357,335,2,545.48,272.74,147.5
358,53,2,860.41,430.205,296.0
359,19,1,430.48,430.48,68.0
360,366,1,254.03,254.03,118.0
362,187,1,427.58,427.58,314.0
363,37,3,483.65000000000003,161.21666666666667,62.666666666666664
364,178,1,489.31,489.31,220.0
365,261,3,514.85,171.61666666666667,76.66666666666667
366,45,1,229.64000000000001,229.64000000000001,164.0
367,102,1,125.92,125.92,49.0
368,148,2,1063.46,531.73,189.5
369,96,2,572.2,286.1,64.0
370,281,1,166.04,166.04,53.0
372,3,4,942.34,235.585,180.5
373,214,1,92.72,92.72,70.0
374,71,2,948.88,474.44,275.0
375,75,5,1759.5,351.9,46.0
376,60,1,397.12,397.12,232.0
377,3,7,1474.72,210.67428571428573,151.14285714285714
378,6,3,430.15000000000003,143.38333333333335,65.66666666666667
379,3,6,1018.71,169.785,82.33333333333333
380,337,2,293.0,146.5,188.0
382,262,1,215.05,215.05,135.0
383,32,2,383.03,191.515,97.5
384,145,1,417.38,417.38,156.0
385,283,1,312.38,312.38,110.0
386,59,4,2612.86,653.215,266.0
387,173,1,134.1,134.1,24.0
388,34,2,683.13,341.565,179.5
390,144,4,2726.77,681.6925,377.75
392,70,2,1118.99,559.495,273.5
393,66,8,1702.26,212.7825,97.625
394,29,2,325.96000000000004,162.98000000000002,62.5
395,267,4,354.09,88.5225,51.0
397,31,2,1050.8899999999999,525.4449999999999,311.5
398,97,1,135.18,135.18,109.0
399,295,1,311.55,311.55,149.0
400,135,6,1957.1000000000001,326.18333333333334,133.33333333333334
401,79,3,1324.5,441.5,209.0
402,373,1,38.1,38.1,30.0
403,8,6,2179.93,363.32166666666666,179.83333333333334
404,211,2,1106.4,553.2,171.5
405,52,1,521.2,521.2,188.0
406,138,1,147.12,147.12,216.0
407,26,2,1568.23,784.115,462.5
408,283,1,559.12,559.12,171.0
409,26,7,4036.82,576.6885714285714,614.0
410,186,6,1607.0600000000002,267.84333333333336,154.66666666666666
411,84,2,380.64,190.32,100.0
412,327,2,599.97,299.985,159.5
413,282,1,374.0,374.0,128.0
416,4,12,1535.77,127.98083333333334,98.16666666666667
417,236,2,854.99,427.495,273.5
418,45,3,573.22,191.07333333333335,123.33333333333333
419,276,1,298.0,298.0,21.0
420,9,2,1463.04,731.52,123.0
421,25,4,703.47,175.8675,49.0
422,88,1,309.05,309.05,43.0
423,63,3,1175.22,391.74,218.33333333333334
424,68,2,1378.4,689.2,385.0
425,214,2,354.12,177.06,38.0
426,24,1,380.46999999999997,380.46999999999997,259.0
427,186,3,331.0,110.33333333333333,316.6666666666667
428,31,1,188.14,188.14,96.0
429,42,2,372.8,186.4,105.0
430,205,2,216.5,108.25,55.0
432,265,1,138.68,138.68,66.0
433,18,2,509.58,254.79,151.0
434,12,5,2919.81,583.962,349.8
435,176,2,750.0,375.0,600.0
436,40,5,2178.67,435.73400000000004,256.0
437,23,8,3075.04,384.38,211.5
438,3,5,1662.3,332.46,134.0
439,5,5,2483.63,496.726,283.8
440,149,2,363.65,181.825,46.5
441,139,4,3006.15,751.5375,279.75
442,128,1,594.0,594.0,120.0
443,8,6,1335.19,222.53166666666667,112.16666666666667
444,17,1,164.23,164.23,129.0
446,161,1,405.38,405.38,370.0
447,64,1,176.97,176.97,69.0
448,88,4,933.7,233.425,120.25
449,5,2,694.05,347.025,270.5
450,35,5,2062.7000000000003,412.5400000000001,294.4
451,312,1,117.85,117.85,37.0
452,78,2,415.8,207.9,126.0
454,24,3,607.53,202.51,166.33333333333334
455,2,7,2160.7,308.6714285714285,264.7142857142857
456,17,4,1063.9,265.975,139.75
457,15,4,1504.27,376.0675,251.75
458,26,1,114.14,114.14,140.0
460,55,2,913.54,456.77,205.5
461,131,3,683.9,227.96666666666667,67.66666666666667
462,36,2,604.51,302.255,144.5
463,288,1,462.95,462.95,165.0
464,144,6,1603.99,267.33166666666665,194.16666666666666
465,16,7,2064.95,294.99285714285713,154.28571428571428
466,31,8,4167.22,520.9025,297.625
467,2,3,1843.0,614.3333333333334,460.0
468,9,6,1064.07,177.345,83.83333333333333
469,6,4,1387.79,346.9475,163.25
470,10,1,329.85,329.85,84.0
471,1,11,4757.16,432.4690909090909,333.09090909090907
472,306,1,108.07,108.07,34.0
473,10,8,4017.54,502.1925,318.625
474,7,2,266.39,133.195,64.5
475,8,8,1856.63,232.07875,110.125
476,89,1,771.91,771.91,283.0
477,10,1,160.18,160.18,75.0
478,358,2,1660.9,830.45,219.0
479,112,1,135.95,135.95,73.0
480,7,4,452.24,113.06,77.5
482,198,1,144.8,144.8,24.0
483,212,1,738.6,738.6,561.0
484,156,1,39.239999999999995,39.239999999999995,12.0
486,30,2,372.21999999999997,186.10999999999999,121.0
487,243,1,390.54,390.54,288.0
488,19,1,97.5,97.5,26.0
